Table: Statistics
,,Women_Business_and_the_Law_Entrepreneurship_Indicator_Score,Borrowed_to_start_operate_or_expand_a_farm_or_business_age,Cost_of_business_start_up_procedures_of_GNI_per_capita_201,Saved_to_Start_Operate_or_Expand_a_Farm_or_Business_age_15,Start_up_procedures_to_register_a_business_number_2017,Time_required_to_start_a_business_days_2017
N,Valid,189,145,189,145,189,189
,Missing,3,47,3,47,3,3
Mean,,82.94,5.82,26.58,11.68,7.21,21.62
Std Dev,,16.61,4.78,46.89,6.74,3.09,26.24
Minimum,,0,.05,.00,.30,1.00,.50
Maximum,,100,20.73,352.20,33.94,20.00,230.00

Table: Women_Business_and_the_Law_Entrepreneurship_Indicator_Score
,,Frequency,Percent,Valid Percent,Cumulative Percent
,25.00,1,.5%,.5%,75.7%
,26.50,2,1.0%,1.1%,76.7%
,27.00,1,.5%,.5%,77.2%
,28.00,1,.5%,.5%,77.8%
,29.00,2,1.0%,1.1%,78.8%
,29.77,1,.5%,.5%,79.4%
,30.00,1,.5%,.5%,79.9%
,31.00,1,.5%,.5%,80.4%
,32.00,1,.5%,.5%,81.0%
,33.00,3,1.6%,1.6%,82.5%
,35.00,2,1.0%,1.1%,83.6%
,36.00,1,.5%,.5%,84.1%
,37.00,3,1.6%,1.6%,85.7%
,39.00,2,1.0%,1.1%,86.8%
,40.00,1,.5%,.5%,87.3%
,41.00,4,2.1%,2.1%,89.4%
,42.00,1,.5%,.5%,89.9%
,44.00,1,.5%,.5%,90.5%
,45.00,1,.5%,.5%,91.0%
,48.00,2,1.0%,1.1%,92.1%
,48.50,1,.5%,.5%,92.6%
,50.00,1,.5%,.5%,93.1%
,54.00,1,.5%,.5%,93.7%
,60.00,1,.5%,.5%,94.2%
,61.00,1,.5%,.5%,94.7%
,66.00,1,.5%,.5%,95.2%
,70.00,1,.5%,.5%,95.8%
,73.00,1,.5%,.5%,96.3%
,80.00,1,.5%,.5%,96.8%
,82.47,1,.5%,.5%,97.4%
,84.00,1,.5%,.5%,97.9%
,97.00,1,.5%,.5%,98.4%
,99.00,1,.5%,.5%,98.9%
,174.00,1,.5%,.5%,99.5%
,230.00,1,.5%,.5%,100.0%
Missing,.  ,3,1.6%,,
Total,,192,100.0%,,
